Description,Barangay,City,Province,Price_PHP,Bedrooms,Bath,Floor_area_sqm,Land_area_sqm
"Studio Unit (37.80 sqm) for Sale in La Vida Tower A, Pasay City",F.B Harisson,Pasay,Metro Manila,5857600,1,1,37,
"2-Bedroom Unit (39H) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,45668000,2,2,114,
"RFO 1BR  Unit (37 sqm) for Sale in Chimes Greenhills, San Juan City",Greenhills,San Juan,Batangas,7000000,1,1,37,
"1-Bedroom Unit (S24D2) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,11300800,1,1,52,
"Penthouse Unit (54E) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,175265000,4,4,409,
"Residential Unit (110-02) for Sale in UniPlace @ SWU Village, Cebu City",Sambag II,Cebu,Cebu,2810000,1,1,24,
"Pre-Selling 2-Bedroom  (75 sqm) in Galleria Residences 3, Cebu City",North Reclamation Area,Cebu,Cebu,13007400,2,,75,
"1-Bedroom Condo Unit for Sale at Legacy Leisure Residences in Ma-a, Davao City | 35.7...",Ma-A,Davao,Davao Del Sur,4206258,1,1,35,
"Natalie Single Detached House for Sale in West Beverly Hills, Dasmarinas, Cavite",Langkaan I,Dasmarinas,Cavite,5493461,3,,123,140
"Aeon Duplex Bungalow SD for Sale in Sentosa, Calamba Laguna",Punta,Calamba,Laguna,3124880,2,,71,120
"2-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...",Ma-A,Davao,Davao Del Sur,8645982,2,2,77,
"RFO Studio Unit (21.20 sqm) for Sale in Chimes Greenhills, San Juan City",Greenhills,San Juan,Batangas,3900000,1,1,21,
"Viridian in Greenhills, 2-Bedroom Unit (51H) for Sale in San Juan City",Greenhills,San Juan,Batangas,37940000,2,3,141,
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ALICE Model",San Sebastian,Kawit,Cavite,1880600,3,,40,40
"Studio Condo Unit (16E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,8018070,1,1,33,
"2-Storey Townhouse (AMITA - Mid) for Sale in Amoa, Compostela, Cebu - with Special Of...",Tamiao,Compostela,Cebu,4200000,2,,53,50
"2-Storey Townhouse Inner Crescent Mid Unit for Sale in Pristina North Residences, Tal...",Talamban,Cebu,Cebu,14700000,3,,115,150
"Lot Only for Sale in Pristina North Residences, Talamban, Cebu - with Special Offer",Talamban,Cebu,Cebu,19200000,,,,419
"For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite",Carsadang Bago I,Imus,Cavite,5234791,3,,75,112
"Townhouse End Unit for Sale in Ajoya Capas, Tarlac - with Special Offer",Talaga,Capas,Tarlac,2500000,,,49,86
The Gentri Heights: Haila 2-Storey House for Sale in General Trias Cavite,Manggahan,General Trias,Cavite,5548360,4,,107,120
"Townhouse Mid Unit for Sale in Ajoya Capas, Tarlac - with Special Offer",Talaga,Capas,Tarlac,2100000,,,49,50
"Studio Unit (27 sqm) for Sale in City Clou, Cebu City",Zapatera,Cebu,Cebu,3199000,1,1,27,
Cityland 101 Xavierville - Studio Unit for Sale in Quezon City,Loyola Heights,Quezon City,Metro Manila,1916509,1,1,17,
"2-Storey 3-Bedroom Townhome Inner Unit for Sale - Estanzia Enclave, Tanza Cavite",Halayhay,Tanza,Cavite,3000000,3,,55,50
"Cityland Pines Peak Tower II, 3-Bedroom Unit for Sale in Mandaluyong",Barangka Ilaya,Mandaluyong,Metro Manila,7852870,3,2,74,
"2-Storey 3BR House and Lot (Leia Duplex) for Sale in Suntrust Sentosa, Calamba, Lagun...",Punta,Calamba,Laguna,2925600,3,,60,80
For Sale 2BR Condo in Valenzuela - Moldex Residences Valenzuela Caramoan Bldg,Paso de Blas,Valenzuela,Metro Manila,3580000,2,2,32,
"Condominium with 3 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City",New Manila,Quezon City,Metro Manila,8229500,3,2,53,
"Studio Unit (27 sqm) for Sale in Suntrust Shanata, Novaliches, Quezon City",Novaliches,Quezon City,Metro Manila,3113220,1,1,27,
"Bungalow House and Lot (Aeon Duplex) for Sale in Suntrust Sentosa, Calamba, Laguna",Punta,Calamba,Laguna,1562440,1,,41,60
"2BR Unit for Sale at Woodsville Crest, Merville Paranaque | 5% Launch Promo",Merville,Paranaque,Metro Manila,11600000,2,1,58,
"3BR Quadruplex (Azumi Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna",Punta,Calamba,Laguna,2459200,3,,80,60
"4,200 sqm Industrial Lot for Sale in Laguindingan Technopark, Misamis Oriental",Moog,Laguindingan,Misamis Oriental,23100000,,,,4200
"3-Bedroom Duplex House and Lot for Sale in Villaggio Enclave, General Trias, Cavite",Buenavista I,General Trias,Cavite,3000000,3,,55,80
"The Levels Anaheim Tower, 1-Bedroom Bi-Level for Sale in Alabang (for as low as Php 3...",Alabang,Muntinlupa,Metro Manila,,1,1,66,
"1-Bedroom Unit (N62C1) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,14632000,1,1,59,
"2-Bedroom Unit (33H) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,42359000,2,2,114,
"2-Storey 3-Bedroom House and Lot (Alto Model) for Sale in Gran Avila, Calamba, Laguna...",Majada Labas,Calamba,Laguna,2902810,3,,60,90
"4-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - w...",Calubcub II,San Juan,Batangas,14100000,4,,150,200
Studio City Tower 4; RFO Condominium Unit for Sale (16sqm) in Alabang (for as low as ...,Alabang,Muntinlupa,Metro Manila,,1,1,16,
"3-Bedroom Single Detached House and Lot for Sale in The Emerald Residences, Bagakay, ...",Bagakay,Ozamiz,Misamis Occidental,2906840,3,,56,100
"Metro Tagaytay - Daphne Single Attached 2BR House and Lot for Sale in Montebello, Alf...",Kaytitinga III,Alfonso,Cavite,6900000,2,,150,
"Pre-Selling Studio Unit in The Sapphire Bloc East Tower, Ortigas CBD, Pasig",Ortigas CBD,Pasig,Metro Manila,6320000,1,1,,
"Condominium with 2 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City",New Manila,Quezon City,Metro Manila,6785600,2,1,39,
"Studio Condo Unit (7D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7623299,1,1,31,
"Fully-finished 1-Bedroom Condo Unit for Sale in Terraces at Tradizo, Imus Cavite",Anabu II-A,Imus,Cavite,3000000,1,1,26,
"Studio Unit for Sale in The Mist Residences, Bakakeng Central, Baguio City",Bakakeng Central,Baguio,Benguet,3800000,1,1,28,
"3-Bedroom Condo Unit for Sale in Suntrust Solana, Ermita, Manila",Ermita,Manila,Metro Manila,7500000,3,2,52,
"Residential Lot by The Beach at Club Laiya, San Juan, Batangas",Laiya-Aplaya,San Juan,Batangas,15000000,,,,300
"4-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Dana wCB, NRF...",Longos,Malolos,Bulacan,6970000,4,,85,110
"2-Storey 4BR House and Lot (Jazmine Model) for Sale in Governor's Hills, General Tria...",Biclatan,General Trias,Cavite,6841640,4,,160,154
"3-Bedroom House and Lot for Sale at PHINMA Maayo San Jose in San Jose, Batangas | Tri...",Banaybanay II,San Jose,Batangas,,3,,84,125
"3-Bedroom Single Detached House and Lot for Sale in The Emerald Residences, Bagakay, ...",Bagakay,Ozamiz,Misamis Occidental,5157800,3,,120,120
"Semi-Furnished 3-Bedroom House and Lot for Sale at Dona Rufina, Bagakay, Ozamiz",Bagakay,Ozamiz,Misamis Occidental,1699999,3,,70,100
"Kiara Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna",Punta,Calamba,Laguna,2406200,3,,79,60
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Carezza Building,Bakakeng Central,Baguio,Benguet,3600000,1,1,21,
"Pre-Selling Studio Unit (26.42 sqm) in Acacia Escalades B, Pasig City",Manggahan,Pasig,Metro Manila,3890000,1,1,26,
"RFO 2-Bedroom Unit (63.60 sqm) in The Radiance Manila Bay North, Pasay City",Pasay Rotonda,Pasay,Metro Manila,12000000,2,,63,
"4-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ADELLE Model",San Sebastian,Kawit,Cavite,2671400,4,,70,60
"Azalea 3-Bedroom Townhouse for Sale in Primavera Homes Phase 2, Tanauan Batangas",Darasa,Tanauan,Batangas,2698000,3,,65,60
"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang- Mariella Standard",Lumil,Silang,Cavite,4460000,3,,63,88
2-Storey 4BR Single Detached House and Lot (Wallace Model) for Sale in Washington Pla...,Sampaloc II,Dasmarinas,Cavite,6298845,4,,83,140
"RFO Studio Unit 2315A for Sale in Grand Riviera Suites, Roxas Boulevard, Manila",Roxas Boulevard,Manila,Metro Manila,4363000,1,1,20,
"1-Bedroom Unit for Sale in One Lakeshore Drive, San Antonio, Davao - Tower 2",San Antonio,Davao,Davao Del Sur,7320000,1,2,50,
"2BR Bi-Level Condo Unit for Sale in West Parc - Alder Building, Filinvest City, Alaba...",Alabang,Muntinlupa,Metro Manila,8900000,2,2,73,
"1-Bedroom Condo Unit (24J) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...",Highway Hills,Mandaluyong,Metro Manila,12069664,1,1,57,
"3BR House and Lot (Scarlett Model) for Sale in San Francisco Heights, Calamba, Laguna",Palo-Alto,Calamba,Laguna,4767000,3,,72,110
"RFO 3-Bedroom Unit for Sale in 1322 Roxas Boulevard, Manila",Roxas Boulevard,Manila,Metro Manila,,3,5,188,
"2BR Bungalow House (Francine Model) for Sale in San Francisco Heights, Calamba, Lagun...",Palo-Alto,Calamba,Laguna,2918180,2,,46,110
"2BR 1-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavit...",Biclatan,General Trias,Cavite,3199000,2,,77,100
"Office Unit for Sale (92 sq.m.) in Parkway Corporate Center, Alabang (for as low as P...",Alabang,Muntinlupa,Metro Manila,,,,92,
"2BR 2-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavit...",Biclatan,General Trias,Cavite,4353328,2,,96,100
Pioneer Pointe 2BR Bi-Level Unit with Balcony (87 sqm) for Sale in Mandaluyong (Move-...,Highway Hills,Mandaluyong,Metro Manila,,2,2,87,
"ROSE (Bare 2-Storey End Unit) - Marytown Place, Sta. Maria Bulacan, 1.6M",Bulac,Santa Maria,Bulacan,1600000,1,,46,57
"Studio Condo Unit for Sale in West Parc - Birch Building, Filinvest City, Alabang Mun...",Alabang,Muntinlupa,Metro Manila,4500000,1,1,37,
"5-Bedroom House and Lot (Amadea Model) for Sale in Suntrust Verona, Silang, Cavite",Lumil,Silang,Cavite,9268000,5,,179,176
"YURI 2BR 2-Storey Single Detached for Sale in Idesia Heights, Dasmarinas Cavite",San Agustin I,Dasmarinas,Cavite,5000000,2,,63,96
"Residential Unit (106-16) for Sale in UniPlace @ SWU Village, Cebu City",Sambag II,Cebu,Cebu,2810000,1,1,24,
"ROSE (Bare 2-Storey Corner Unit) - Marytown Place, Sta. Maria Bulacan, 1.76M",Bulac,Santa Maria,Bulacan,1760000,1,,46,77
"RFO 1BR Unit (37.15 sqm) for Sale - The Trion Towers 3, BGC Taguig",McKinley Hill,Taguig,Metro Manila,10000000,1,1,37,
"3BR Quadruplex (Kiara Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna",Punta,Calamba,Laguna,2406200,3,,79,60
"ROSE (Bare 2-Storey Inner Unit) - Marytown Place, Sta. Maria Bulacan, 1.40M",Bulac,Santa Maria,Bulacan,1400000,1,,46,40
Residential Lot for Sale in Ajoya Pampanga (near NLEX-Mexico exit) - with Special Off...,Eden,Mexico,Pampanga,1900000,,,,121
"3-Bedroom Unit for Sale in Suntrust Amadea - Tower 1, Quezon City",Paligsahan,Quezon City,Metro Manila,6709716,3,2,46,
"Amaya Two Storey SD for Sale in Sentosa, Calamba Laguna",Punta,Calamba,Laguna,7032800,4,,149,176
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 327-H",Cupang,Muntinlupa,Metro Manila,5446700,2,1,58,
"2-Bedroom Unit for Sale in 88 Gibraltar Tower 2, Gibraltar, Baguio",Gibraltar,Baguio,Benguet,6853000,2,1,43,
"2-Storey 4BR House and Lot (Luciana Model) for Sale in Siena Hills, Lipa City, Batang...",Antipolo del Sur,Lipa,Batangas,8381730,4,,174,176
2-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...,Eden,Mexico,Pampanga,3100000,2,,59,88
Grand View Tower - Studio Unit (21 sqm) for Sale in Pasay City,Libertad,Pasay,Metro Manila,4500000,1,1,21,
"Studio Unit for Sale in Suntrust Amadea - Tower 2, Quezon City",Paligsahan,Quezon City,Metro Manila,3040080,1,1,24,
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pamp...",Manibaug Paralaya,Porac,Pampanga,2643963,3,,62,50
"3BR Bungalow House and Lot (Angelica Model) for Sale in Siena Hills, Lipa City, Batan...",Antipolo del Sur,Lipa,Batangas,5036925,3,,67,150
"2-Bedroom Condo Unit (16H) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...",Highway Hills,Mandaluyong,Metro Manila,16125357,2,2,84,
"2-Storey 4BR House and Lot (Caterina Model) for Sale in Siena Hills, Lipa City, Batan...",Antipolo del Sur,Lipa,Batangas,7413780,4,,136,176
"For Sale: 2BR Unit (37.9 sqm) in Suntrust Kirana, Pasig City",Pinagbuhatan,Pasig,Metro Manila,5008864,2,1,37,
"The Sofia Terraces, 2-Bedroom Condo Unit for Sale in Quezon Hills, Baguio City",Quezon Hill Proper,Baguio,Benguet,5940000,2,1,45,
"Penthouse Unit (54C) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,111512000,4,4,268,
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...",San Agustin I,Dasmarinas,Cavite,2239999,2,,42,60
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...",San Agustin I,Dasmarinas,Cavite,2239999,2,,42,60
"4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -BRIANA Model",Alapan II-A,Imus,Cavite,6756360,4,,110,100
"For Sale 2 Bedroom Condo Unit Brand New and Furnished in Alang-Alang, Mandaue",Alang-Alang,Mandaue,Cebu,5000000,2,1,38,
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -GABR...",Pasong Camachile I,General Trias,Cavite,6650000,3,,84,120
"Studio Unit (45J) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,10715000,1,1,34,
"2-Storey 3BR House and Lot (Fiorenza Premium) for Sale in Siena Hills, Lipa City, Bat...",Antipolo del Sur,Lipa,Batangas,6085537,3,,117,120
"Studio Condo Unit (7F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7948203,1,1,33,
"Pre-Selling 3BR (211.57 sqm), The Residences At The Westin Manila Sonata Place",Ortigas CBD,Pasig,Metro Manila,50085329,3,,211,
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pamp...",Manibaug Paralaya,Porac,Pampanga,2820800,3,,78,63
"Studio Condo Unit (7B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7216034,1,1,32,
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -CHESSA Model",Alapan II-A,Imus,Cavite,5978000,3,,90,100
"Non-PEZA Industrial Lot (8,000 sqm) for Sale, Cavite Technopark, Naic, Cavite",Sabang,Naic,Cavite,40000000,,,,8000
"Suntrust Capitol Plaza - 1-Bedroom Unit for Sale in Diliman, Quezon City",Diliman,Quezon City,Metro Manila,7300000,1,1,40,
"4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -ALEX...",Pasong Camachile I,General Trias,Cavite,7410000,4,,100,120
"Brentville International Community - Woodmore Spring (Lot only) in Binan, Laguna",Mampalasan,Binan,Laguna,21940000,,,,541
"ROSE (Bare 2-Storey End Unit) - Marytown Place, Sta. Maria Bulacan, 1.4M",Bulac,Santa Maria,Bulacan,1400000,1,,46,48
"2-Bedroom Unit (3109) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25471000,2,1,89,
"2BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5A",Wack-Wack Greenhills,Mandaluyong,Metro Manila,12370523,2,1,52,
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -CHES...",Pasong Camachile I,General Trias,Cavite,5978000,3,,90,100
"Studio (4117) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,10021000,1,,35,
3-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...,Eden,Mexico,Pampanga,3800000,3,,72,88
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -MARGARET Mode...",Alapan II-A,Imus,Cavite,5690000,3,,72,100
"1-Bedroom Unit (22D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,20502000,1,1,65,
"The Mist Residences - Studio Unit for Sale in Bakakeng Central, Baguio City",Bakakeng Central,Baguio,Benguet,3800000,1,1,28,
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...",San Agustin I,Dasmarinas,Cavite,2239999,2,,42,60
"RFO 4-Bedroom Unit for Sale in 1322 Roxas Boulevard, Manila",Roxas Boulevard,Manila,Metro Manila,,4,6,237,
Pre-Selling 1-Bedroom Unit (36 sqm) at The Sapphire Bloc East in Ortigas CBD,Ortigas CBD,Pasig,Metro Manila,8500000,1,1,36,
"5-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Greta, NRFO",Longos,Malolos,Bulacan,10151000,5,,166,143
"RFO 4-Bedroom Unit 47D2 for Sale in 1322 Roxas Boulevard, Manila",Roxas Boulevard,Manila,Metro Manila,,4,6,237,
"2-Storey 4BR House and Lot (Amaya Model) for Sale in Suntrust Sentosa, Calamba, Lagun...",Punta,Calamba,Laguna,7032800,4,,149,176
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...",San Agustin I,Dasmarinas,Cavite,2239999,2,,42,60
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Davos Building,Bakakeng Central,Baguio,Benguet,4800000,1,1,28,
"3BR House and Lot (Mariella Premium) for Sale in Suntrust Verona, Silang, Cavite",Lumil,Silang,Cavite,4956000,3,,93,88
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 312-E",Cupang,Muntinlupa,Metro Manila,5446700,2,1,58,
"3BR Single Attached House and Lot for Sale in The Villages at Lipa, Brook Village, Ba…",Bugtong Na Pulo,Lipa,Batangas,3800000,3,,65,116
"2-Bedroom Unit for Sale in Suntrust Solana, Ermita Manila",Ermita,Manila,Metro Manila,4900000,2,1,39,
"3-Bedroom Unit with Balcony for Sale, Cebu City",Talamban,Cebu,Cebu,8000000,3,2,72,
"1-Bedroom Unit (3107) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16214000,1,1,57,
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,Manibaug Paralaya,Porac,Pampanga,8982815,4,,176,168
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...",Bagumbayan,Quezon City,Metro Manila,14612268,2,2,67,
"Studio Unit (37.8 sqm) for Sale in La Vida Tower B, Pasay City",F.B Harisson,Pasay,Metro Manila,5006400,1,1,37,
"2 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City",Diliman,Quezon City,Metro Manila,10100000,2,2,68,
"Azumi  Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna",Punta,Calamba,Laguna,2459200,3,,80,60
"2-Bedroom Condo (Unit H) for Sale in Suntrust Shanata, Novaliches Quezon City",Novaliches,Quezon City,Metro Manila,6363100,2,1,35,
"RFO 1-Bedroom Unit (40 sqm) in The Radiance Manila Bay North, Pasay City",Pasay Rotonda,Pasay,Metro Manila,8100000,1,1,40,
"2BR Unit (37.9 sqm) for Sale in Suntrust Kirana, Pasig City",Pinagbuhatan,Pasig,Metro Manila,5008864,2,1,37,
"For Sale: 2BR Condo Unit with Balcony in Legacy Leisure Residences, Ma-a, Davao City ...",Ma-A,Davao,Davao Del Sur,8535732,2,2,76,
Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Groden Building,Bakakeng Central,Baguio,Benguet,7300000,1,1,45,
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...",Bagumbayan,Quezon City,Metro Manila,14612268,2,2,67,
"For Sale: 2-Bedroom Unit in Metrotowne, Las Pinas City",Talon Uno,Las Pinas,Metro Manila,6500000,2,1,48,
"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Gisella",Lumil,Silang,Cavite,7860000,4,,116,176
"1-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...",Ma-A,Davao,Davao Del Sur,4206258,1,1,36,
1BR Unit (30 sqm) for Sale in Moldex Residences Silang Cavite near Dasmarinas,Biluso,Silang,Cavite,3000000,1,1,30,
"Studio Condo Unit (16B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7278411,1,1,32,
"Cityland Pines Peak Tower II, 2-Bedroom Unit for Sale in Mandaluyong",Barangka Ilaya,Mandaluyong,Metro Manila,5208904,2,2,44,
"For Sale: 2-Bedroom Unit in Suntrust Kirana, Pasig City",Pinagbuhatan,Pasig,Metro Manila,5008864,2,1,37,
"2-Storey Townhouse (AMITA - End) for Sale in Amoa, Compostela, Cebu - with Special Of...",Tamiao,Compostela,Cebu,4200000,2,,53,70
"4-Bedroom House and Lot (Gisella Model) for Sale in Suntrust Verona, Silang, Cavite",Lumil,Silang,Cavite,7860000,4,,116,176
3-Bedroom Single-Detached Bungalow House and Lot for Sale in The Emerald Residences P...,Bagakay,Ozamiz,Misamis Occidental,4250000,3,,71,120
"2BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5U",Wack-Wack Greenhills,Mandaluyong,Metro Manila,16414733,2,1,69,
Ready for Occupancy 1Bedroom Condo in Bacoor | The Meridian,Mambog I,Bacoor,Cavite,4715100,1,1,30,
"Studio Unit (5T303) for Sale in Studio City, Alabang, Muntinlupa City (for as low as ...",Alabang,Muntinlupa,Metro Manila,,1,1,16,
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...",San Agustin I,Dasmarinas,Cavite,2239999,2,,42,60
"RFO Studio Unit (24.17 sqm) for Sale in Axis Residences B, Mandaluyong City",Barangka Ilaya,Mandaluyong,Metro Manila,4200000,1,1,24,
"3BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...",Bugtong Na Pulo,Lipa,Batangas,6000000,3,,103,143
"1 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City",Diliman,Quezon City,Metro Manila,6000000,1,1,40,
Cityland One Premier - Studio Unit (17.31 sqm) for Sale in Las Pinas City,Almanza Uno,Las Pinas,Metro Manila,1833376,1,1,17,
Metrotowne - Studio Unit for Sale in Las Pinas City,Talon Uno,Las Pinas,Metro Manila,2600000,1,1,22,
"Brentville International Community - West Parc (Lot only) in Binan, Laguna",Mampalasan,Binan,Laguna,17500000,,,,500
"Pre-Selling 1-Bedroom Unit (34 sqm) in Sierra Valley Gardens 1, Cainta, Rizal",San Juan,Cainta,Rizal,5400000,1,1,34,
"Pre-Selling 1BR Unit (32.02 sqm) in Acacia Escalades B, Pasig City",Manggahan,Pasig,Metro Manila,4200000,1,1,32,
"The Glades at Timberland Heights - Lot for Sale in San Mateo Rizal, Blk10 Lot 14 (for...",Malanday,San Mateo,Rizal,,,,,197
"2-Bedroom Condo (Unit A) for Sale in Suntrust Shanata, Novaliches Quezon City",Novaliches,Quezon City,Metro Manila,6363100,2,1,35,
Pre-Selling 2-Bedroom Unit in Moldex Residences Baguio - Davos Building,Bakakeng Central,Baguio,Benguet,9400000,2,1,57,
"1-Bedroom Unit (40 sqm) for Sale in City Clou, Cebu City",Zapatera,Cebu,Cebu,5307970,1,1,40,
"2-Storey 5BR House and Lot (Amadea Model) for Sale in Siena Hills, Lipa City, Batanga...",Antipolo del Sur,Lipa,Batangas,8215625,5,,179,176
"Studio - Finished Condo Unit for Sale in The Persimmon Studios, Cebu City - with Spec...",Mabolo,Cebu,Cebu,3700000,1,1,24,
Pre-Selling 1BR Executive (58 sqm) in The Magnolia Residences D at New Manila QC,New Manila,Quezon City,Metro Manila,10500000,1,1,58,
"Office Unit for Sale (67 sq.m.) in Parkway Corporate Center, Alabang (for as low as P...",Alabang,Muntinlupa,Metro Manila,,,,67,
"3-Bedroom Unit (139 sqm) for Sale in The Signature, Balintawak Quezon City",Pag-Ibig Sa Nayon,Quezon City,Metro Manila,21700000,3,2,139,
"The Mist Residences - 3-Bedroom Unit for Sale in Bakakeng Central, Baguio City",Bakakeng Central,Baguio,Benguet,7800000,3,1,60,
"Pre-selling Studio Unit (30 sqm) in Aurora Escalades, Cubao Quezon City",Cubao,Quezon City,Metro Manila,5600000,1,1,30,
"Studio Condo Unit (29E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,8107899,1,1,33,
"3-Bedroom Unit for Sale in The Mist Residences, Bakakeng Central, Baguio City",Bakakeng Central,Baguio,Benguet,7800000,3,1,60,
"3-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - w...",Calubcub II,San Juan,Batangas,11300000,3,,100,200
"2BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 5.5M",Paligsahan,Quezon City,Metro Manila,5479920,2,1,36,
"3-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...",Valle Cruz,Cabanatuan,Nueva Ecija,4700000,3,,81,110
TALIA 2-Storey Single Attached (Irregular) for Sale in Idesia Dasmarinas Phase 1,San Agustin I,Dasmarinas,Cavite,4100000,2,,52,83
Pre-Selling 1BR (78.96 sqm) at The Residences At The Westin Manila Sonata Place,Ortigas CBD,Pasig,Metro Manila,21037273,1,1,78,
TALIA 2-Storey Single Attached (Irregular) for Sale in Idesia Dasmarinas Phase 1,San Agustin I,Dasmarinas,Cavite,4100000,2,,52,83
"Studio Unit for Sale in Metrotowne, Las Pinas City",Talon Uno,Las Pinas,Metro Manila,2600000,1,1,22,
"Pre-Selling Studio Unit (33 sqm) in Gateway Regency Studios, Mandaluyong",Barangka Ilaya,Mandaluyong,Metro Manila,5700000,1,1,33,
"2-Storey 4BR House and Lot (Shanata Model) for Sale in Suntrust Sentosa, Calamba, Lag...",Punta,Calamba,Laguna,8557360,4,,171,176
"3-Bedroom Unit for Sale in 88 Gibraltar Tower 1, Gibraltar, Baguio",Gibraltar,Baguio,Benguet,11312000,3,2,72,
"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Savannah",Palo-Alto,Calamba,Laguna,5770000,4,,80,110
